acl 2.3.1-2
potrace 1.16-2
procps-ng 3.3.17-1
psmisc 23.6-1
pulseaudio 16.1-3
pulseaudio-alsa 1:1.2.7.1-1
pulseaudio-bluetooth 16.1-3
python 3.10.9-1
python-cairo 1.23.0-2
python-certifi 2022.12.07-1
python-chardet 5.1.0-1
python-gobject 3.42.2-1
python-idna 3.4-1
python-mygpoclient 1.9-1
python-podcastparser 0.6.8-1
python-requests 2.28.1-1
python-urllib3 1.26.12-1
qt5-base 5.15.8+kde+r160-1
qt5-declarative 5.15.8+kde+r22-2
qt5-location 5.15.8+kde+r3-1
qt5-multimedia 5.15.8+kde+r1-1
qt5-sensors 5.15.8-1
qt5-speech 5.15.8+kde+r1-1
qt5-svg 5.15.8+kde+r8-1
qt5-tools 5.15.8+kde+r1-1
qt5-translations 5.15.8-1
qt5-wayland 5.15.8+kde+r57-1
qt5-webchannel 5.15.8+kde+r3-1
qt5-webengine 5.15.12-2
qt5-webkit 5.212.0alpha4-18
qt5-x11extras 5.15.8-1
raptor 2.0.15-21
rasqal 1:0.9.33-5
rav1e 0.6.2-1
re2 1:20221201-2
readline 8.2.001-1
redland 1:1.0.17-8
reiserfsprogs 3.6.27-3
rest 0.8.1+r4+ge5ee6ef-1
ripgrep 13.0.0-3
ristretto 0.12.4-1
rtkit 0.13-2
rubberband 3.1.2-1
run-parts 5.5-1
rust 1:1.66.0-1
rxvt-unicode 9.31-1
rxvt-unicode-terminfo 9.31-1
sbc 2.0-1
sdl12-compat 1.2.60-1
sdl2 2.26.2-1
seahorse 1:43.0-1
sed 4.9-1
serd 0.30.16-1
shaderc 2022.4-1
shadow 4.13-1
shared-mime-info 2.0+155+gf4e7cbc-1
signal-desktop 6.1.0-1
simplescreenrecorder 0.4.4-1
slang 2.3.3-2
smartmontools 7.3-1
snappy 1.1.9-2
sord 0.16.14-1
sound-theme-freedesktop 0.8-5
soundtouch 2.3.2-1
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2022.4-1
sqlite 3.40.1-1
sratom 0.6.14-1
srt 1.5.1-3
startup-notification 0.12-7
stfl 0.24-5
sudo 1.9.12.p1-1
suil 0.10.18-1
suitesparse 6.0.3-1
svt-av1 1.4.1-1
sysfsutils 2.1.1-1
systemd 252.4-2
systemd-libs 252.4-2
systemd-sysvcompat 252.4-2
taglib 1.13-1
tar 1.34-1
tdb 1.4.7-1
texinfo 7.0.1-1
thin-provisioning-tools 0.9.0-1
thunar 4.18.1-1
thunar-media-tags-plugin 0.3.0-2
thunar-volman 4.18.0-1
thunderbird 102.6.1-1
tlp 1.5.0-5
tlp-rdw 1.5.0-5
tmux 3.3_a-2
tpm2-tss 3.2.0-3
tracker3 3.4.2-1
tre 0.8.0-6
tree 2.1.0-1
tslib 1.22-1
ttf-liberation 2.1.5-1
ttf-symbola 14.00-1
tumbler 4.18.0-1
twolame 0.4.0-2
tzdata 2022g-1
uchardet 0.0.7-1
udisks2 2.9.4-1
unarchiver 1.10.7-7
unicode-cldr-annotations 42.0-1
unrar 1:6.2.3-1
unzip 6.0-19
upower 1.90.0-1
usbmuxd 1.1.1-1
usbutils 015-2
util-linux 2.38.1-1
util-linux-libs 2.38.1-1
v4l-utils 1.22.1-1
vamp-plugin-sdk 2.10.0-1
vid.stab 1.1-3
vifm 0.12.1-1
vim-runtime 9.0.1046-1
virtualbox 7.0.4-3
virtualbox-ext-oracle 7.0.4-1
virtualbox-guest-iso 7.0.4-1
virtualbox-host-modules-arch 7.0.4-10
vmaf 2.3.1-1
volume_key 0.3.12-7
vulkan-icd-loader 1.3.235-1
w3m 0.5.3.git20220409_1-2
wavpack 5.6.0-1
wayland 1.21.0-2
wayland-protocols 1.31-1
webkit2gtk 2.38.3-1
webrtc-audio-processing 0.3.1-3
which 2.21-5
woff2 1.0.2-4
wpa_supplicant 2:2.10-8
wpebackend-fdo 1.14.0-1
wqy-microhei 0.2.0_beta-11
wxwidgets-common 3.2.1-2
wxwidgets-gtk3 3.2.1-2
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xcb-imdkit 1.0.4-1
xcb-proto 1.15.2-2
xcb-util 0.4.1-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xclip 0.13-3
xcursor-comix 0.9.2-1
xdg-dbus-proxy 0.1.4-1
xdg-user-dirs 0.18-1
xdg-utils 1.1.3+25+g8ae0263-1
xf86-input-libinput 1.2.1-1
xf86-video-vesa 2.6.0-1
xfconf 4.18.0-1
xfsprogs 6.1.0-1
xkeyboard-config 2.37-1
xmlsec 1.2.37-1
xorg-bdftopcf 1.1.1-1
xorg-docs 1.7.2-2
xorg-font-util 1.3.3-1
xorg-fonts-100dpi 1.0.3-8
xorg-fonts-75dpi 1.0.3-8
xorg-fonts-alias-100dpi 1.0.4-1
xorg-fonts-alias-75dpi 1.0.4-1
xorg-fonts-encodings 1.0.6-1
xorg-iceauth 1.0.9-1
xorg-mkfontscale 1.2.2-1
xorg-server 21.1.6-1
xorg-server-common 21.1.6-1
